"縣市鄉鎮","物資存放點","主/次分類","條碼號","品名","最小單位規格","庫存數量","單位","保存期限"
" 南投縣   仁愛鄉 "," 發祥村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 9044 "," 公斤 "," 1050325 "
" 高雄市   大樹區 "," 大樹區原大樹鄉代表會 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 90 "," 公斤 "," 1050727 "
" 屏東縣   瑪家鄉 "," 瑪家村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 16641 "," 公斤 "," 1041031 "
" 南投縣   水里鄉 "," 頂崁村活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1760 "," 公斤 "," 1060831 "
" 新竹縣   新豐鄉 "," 新豐鄉老人文康活動中心新豐鄉老人會館 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1500 "," 公斤 "," 1050131 "
" 新北市   永和區 "," 遠百企業股份有限公司  愛買永和店 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 100 "," 公斤 "," 1010430 "
" 雲林縣   大埤鄉 "," 大埤鄉農會生鮮超市----已轉讓 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 25 "," 公斤 "," 1020131 "
" 宜蘭縣   頭城鎮 "," 合興里社區活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 260 "," 公斤 "," 1011231 "
" 臺東縣   太麻里鄉 "," 太麻里鄉華源村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 240 "," 公斤 "," 1041130 "
" 臺中市   大里區 "," 臺中市大里區大新活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 450 "," 公斤 "," 1050412 "
" 南投縣   仁愛鄉 "," 合作村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 2000 "," 公斤 "," 1060401 "
" 屏東縣   獅子鄉 "," 南世村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 600 "," 公斤 "," 1050331 "
" 南投縣   魚池鄉 "," 東光社區活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 260 "," 公斤 "," 1050612 "
" 南投縣   鹿谷鄉 "," 南投縣鹿谷鄉公所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 320 "," 公斤 "," 1050611 "
" 高雄市   甲仙區 "," 大田老人活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 360 "," 公斤 "," 1041201 "
" 臺東縣   卑南鄉 "," 富源村活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 20 "," 公斤 "," 1041231 "
" 宜蘭縣   南澳鄉 "," 武塔村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 2214 "," 公斤 "," 1041130 "
" 南投縣   名間鄉 "," 新民村集會所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 140 "," 公斤 "," 1050430 "
" 南投縣   國姓鄉 "," 乾溝村村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 600 "," 公斤 "," 1050330 "
" 南投縣   國姓鄉 "," 南港村村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 580 "," 公斤 "," 1050330 "
" 臺東縣   達仁鄉 "," 森永村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 340 "," 公斤 "," 1041231 "
" 臺東縣   太麻里鄉 "," 太麻里鄉香蘭村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 240 "," 公斤 "," 1041130 "
" 南投縣   埔里鎮 "," 南投縣埔里鎮公所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1200 "," 公斤 "," 1060426 "
" 嘉義縣   阿里山鄉 "," 里佳村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1393 "," 公斤 "," 1051006 "
" 南投縣   仁愛鄉 "," 法治村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 2000 "," 公斤 "," 1060401 "
" 南投縣   仁愛鄉 "," 新生村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 2000 "," 公斤 "," 1060401 "
" 嘉義縣   番路鄉 "," 公田村活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 60 "," 公斤 "," 1041101 "
" 嘉義縣   番路鄉 "," 鄧寬仁宅 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 60 "," 公斤 "," 1041101 "
" 嘉義縣   番路鄉 "," 永興國小 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 60 "," 公斤 "," 1041101 "
" 新竹縣   尖石鄉 "," 秀巒村鎮西堡教會 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 160 "," 公斤 "," 1040921 "
" 花蓮縣   豐濱鄉 "," 豐濱鄉公所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 280 "," 公斤 "," 1041231 "
" 屏東縣   牡丹鄉 "," 高士國小牡林分校 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 600 "," 公斤 "," 1041231 "
